home_team,away_team,date,week,score,home_b,away_b,target
rai,htx,2010-10-03,4,-0.5321640078218193,1.57,0.5291005291005291,0
dal,nyg,2010-10-25,7,-0.20006744286027991,0.5291005291005291,1.57,0
sea,car,2015-10-18,6,0.041274767163156326,0.3125,2.5,0
kan,crd,2018-11-11,10,0.9250420155883102,7.28,0.07892659826361484,1
tam,den,2016-10-02,4,-0.6945038616784202,1.36,0.6060606060606061,0
oti,pit,2012-10-11,6,-0.7042706630691962,2.28,0.35714285714285715,1
sea,atl,2011-10-02,4,-0.6597771136604371,2.09,0.38461538461538464,0
mia,rav,2013-10-06,5,-0.2837008682802293,0.6944444444444444,1.19,0
mia,htx,2021-11-07,9,0.36616404699938665,0.46511627906976744,1.75,1
oti,gnb,2016-11-13,10,-0.41495197668823036,1.36,0.6060606060606061,1
htx,oti,2022-10-30,8,-0.4212748390811427,1.04,0.8064516129032258,0
nwe,rai,2014-09-21,3,0.8253291808103902,0.1111111111111111,5.85,1
ram,sea,2012-09-30,4,-0.3782059819674614,1.19,0.6944444444444444,1
oti,nyg,2014-12-07,14,-0.4937624682672148,1.36,0.6060606060606061,0
buf,pit,2020-12-13,14,-0.07240093836785899,0.746268656716418,1.12,1
ram,sfo,2022-01-30,19,0.30297625577264126,0.5291005291005291,1.57,1
kan,sdg,2013-11-24,12,-0.11427481097337314,1.36,0.6060606060606061,0
nor,car,2020-10-25,7,0.5167359363992067,0.35714285714285715,2.28,1
car,pit,2022-12-18,15,-0.3530439874990829,0.6944444444444444,1.19,0
mia,was,2019-10-13,6,-0.5406169165054732,1.97,0.40816326530612246,0
htx,den,2013-12-22,16,-0.8950973079813986,3.3,0.2222222222222222,0
nwe,cin,2022-12-24,16,-0.5436032040606869,1.36,0.6060606060606061,0
min,nwe,2014-09-14,2,0.13861098688647122,1.57,0.5291005291005291,0
was,htx,2018-11-18,11,-0.10987231270432983,1.36,0.6060606060606061,0
tam,atl,2014-11-09,10,-0.6644672873086443,1.57,0.5291005291005291,0
atl,crd,2012-11-18,11,0.8577911562336161,0.2222222222222222,3.3,1
sea,ram,2015-12-27,16,0.8864154095184535,0.17543859649122806,4.15,0
nwe,nor,2021-09-26,3,-0.06940982409940127,0.6060606060606061,1.36,0
gnb,was,2013-09-15,2,0.49175114016259946,0.2702702702702703,2.85,1
sfo,crd,2015-11-29,12,-0.7733027236866143,3.05,0.25,0
nwe,dal,2019-11-24,12,0.21660773332015296,0.40816326530612246,1.97,1
clt,jax,2019-11-17,11,0.30355664821921147,0.6944444444444444,1.19,1
sea,rav,2019-10-20,7,-0.15358122159473328,0.6060606060606061,1.36,0
dal,mia,2019-09-22,3,1.0392107377269466,0.05458515283842795,9.06,1
rai,clt,2010-12-26,16,-0.3057917514209675,1.19,0.6944444444444444,0
kan,sdg,2012-09-30,4,-0.11742487055877382,1.19,0.6944444444444444,0
nor,det,2015-12-21,15,0.13644877095736482,0.6944444444444444,1.19,0
clt,den,2019-10-27,8,0.6390911685439588,0.38461538461538464,2.09,1
sea,crd,2012-12-09,14,0.6726841169775684,0.20408163265306123,3.65,1
chi,nyg,2013-10-10,6,0.6921499882065769,0.25,3.05,1
ram,crd,2017-10-22,7,0.0605066937880248,0.6060606060606061,1.36,1
crd,chi,2018-09-23,3,-0.33086800656254534,1.97,0.40816326530612246,0
det,kan,2019-09-29,4,-0.8090321040401595,2.5,0.3125,0
sfo,crd,2021-11-07,9,-0.5380341597792262,0.40816326530612246,1.97,0
nyj,mia,2021-11-21,11,-0.37939586815196635,1.57,0.5291005291005291,0
gnb,pit,2021-10-03,4,0.44343130904700834,0.38461538461538464,2.09,1
mia,buf,2018-12-02,13,0.3728241089101001,0.5291005291005291,1.57,1
jax,buf,2018-01-07,19,0.17429575551489135,0.2702702702702703,2.85,1
sdg,nyg,2021-12-12,14,0.6762102052037057,0.24096385542168675,3.2,1
chi,nor,2020-11-01,8,-0.6527754409975922,1.75,0.46511627906976744,0
clt,pit,2011-09-25,3,-0.6822332199465467,4.15,0.17543859649122806,0
oti,det,2012-09-23,3,-0.5752899752537458,1.75,0.46511627906976744,1
dal,tam,2012-09-23,3,0.25266914368136534,0.3125,2.5,1
jax,oti,2018-09-23,3,0.4162190416235416,0.20408163265306123,3.65,0
cin,nyg,2020-11-29,12,-0.08667410797797613,2.09,0.38461538461538464,0
cin,cle,2021-11-07,9,-0.24489794469744428,0.746268656716418,1.12,0
was,sfo,2011-11-06,9,-0.6117646460325754,1.86,0.4366812227074236,0
jax,htx,2016-11-13,10,-0.33938510054796106,0.6060606060606061,1.36,0
den,sdg,2013-12-12,15,0.604373354725723,0.2222222222222222,3.3,0
sfo,sea,2018-12-16,15,-0.6084230684426227,1.57,0.5291005291005291,1
tam,sdg,2020-10-04,4,0.13767562236628764,0.3125,2.5,1
cin,rai,2012-11-25,12,0.3049276649686498,0.2702702702702703,2.85,1
nor,ram,2022-11-20,11,0.21017619628447118,0.6944444444444444,1.19,1
atl,was,2013-12-15,15,0.28698185344547344,0.40816326530612246,1.97,1
oti,kan,2021-10-24,7,-0.37488313071009144,1.75,0.46511627906976744,1
cle,chi,2013-12-15,15,-0.7179639351591434,0.8064516129032258,1.04,0
rai,den,2021-12-26,16,0.15248284077453556,1.04,0.8064516129032258,1
dal,phi,2014-11-27,13,-0.11444808073771334,0.6060606060606061,1.36,0
nyj,was,2015-10-18,6,0.4731546093381514,0.2857142857142857,2.7,1
